,HIVincidence,HIVprevalence,%msm12month,drugdep,unemployment_rate,household_income
35,0.0,69.5,0.5979967110180894,2.43,10.4,20425
36,23.8,615.4,2.9214282347597686,2.58,9.9,259397
37,0.0,135.3,0.5411457361448031,2.43,9.7,6147
38,0.0,79.3,1.1802917379578342,2.43,7.9,38691
39,25.0,85.6,1.1174063581995595,2.43,11.4,13312
40,17.3,190.1,0.8986764946170185,2.56,8.4,56637
41,9.1,134.3,0.6993006993006993,2.43,8.4,32156
42,0.0,644.3,0.6951596292481977,2.56,16.7,4287
43,0.0,438.7,0.5487886494445188,2.56,18.8,8039
44,14.8,222.7,1.2566583842056378,2.43,9.6,135409
45,0.0,174.0,0.5523336095001381,2.56,11.0,8477
46,0.0,120.3,1.8181818181818181,2.43,11.4,12602
47,0.0,115.6,1.28905907456666,2.43,9.5,34524
48,23.0,503.3,1.500967594143833,2.54,11.1,154400
49,0.0,223.7,1.073543928923988,2.54,18.8,8390
50,51.4,711.5,1.057917559686986,2.56,8.9,89143
51,9.0,137.9,1.1414034534771156,2.43,10.8,45856
52,0.0,292.6,0.5526388505111909,2.56,18.0,3263
53,0.0,256.1,0.7031137896398335,2.58,16.7,7741
54,20.9,341.1,0.6586345381526104,2.56,9.9,12909
55,0.0,83.2,0.5468378506894912,2.58,11.4,9016
56,12.5,374.5,1.2961065573770492,2.56,12.4,21568
57,11.0,144.3,2.382664707169882,2.58,9.5,31673
58,4.0,147.7,1.9842215153510923,2.58,6.2,74790
59,0.0,280.3,0.5543710021321961,2.56,16.7,4962
60,7.3,260.2,1.7391019552615203,2.58,14.9,31277
61,0.0,164.4,1.561381822913278,2.56,10.3,16437
62,21.9,234.7,0.9512340333405499,2.58,8.2,68103
63,9.1,141.7,2.728006456820016,2.43,13.1,25571
64,0.0,97.9,0.7634801972323844,2.54,19.8,6218
65,0.0,195.4,1.055612770339856,2.56,21.6,3843
66,0.0,44.1,0.550696469063816,2.43,10.1,9526
67,0.0,161.8,1.647058823529412,2.85,2.2,577
68,0.0,0.0,1.4971927635683093,2.85,2.7,1105
69,5.3,162.7,1.4769960559533544,3.24,6.9,105164
70,0.0,114.2,1.8929058663028648,3.22,17.3,4441
71,0.0,0.0,0.5305039787798408,2.85,5.5,398
72,0.0,0.0,1.9161676646706587,3.22,2.7,722
73,0.0,0.0,0.578368999421631,2.85,16.4,1353
74,0.0,57.8,0.960048764381683,3.22,8.2,35844
75,0.0,0.0,0.5333333333333333,2.51,6.2,1144
76,0.0,0.0,0.5405405405405406,2.51,13.9,909
77,0.0,69.3,1.7197248440249562,2.51,5.6,12081
78,0.0,49.6,0.5509763300568608,2.85,9.4,21559
79,0.0,95.4,0.5542213190467393,2.51,8.5,5305
80,0.0,0.0,2.823795180722892,2.85,5.3,4560
81,0.0,0.0,0.6437768240343348,2.85,11.9,510
82,0.0,57.8,0.7590973534971645,2.85,10.2,31104
83,0.0,0.0,0.5504055619930475,3.22,17.6,2839
84,0.0,0.0,0.5533092147265376,3.22,10.3,1977
85,0.0,0.0,1.6260162601626018,3.22,23.8,1886
86,0.0,0.0,0.5667506297229219,2.51,5.7,1367
87,0.0,0.0,1.6483516483516485,2.51,13.4,2377
88,0.0,107.6,0.5492917028042786,2.51,4.6,3513
89,0.0,0.0,0.6355932203389831,2.51,5.5,387
90,0.0,0.0,0.5542085209560097,3.22,8.4,2156
91,0.0,65.0,0.8416220351951033,2.85,9.6,3225
92,0.0,0.0,0.5458515283842794,2.51,6.0,1163
93,0.0,0.0,0.6968641114982579,2.51,8.2,265
94,0.0,0.0,1.0217681030653043,3.22,20.3,2057
95,15.8,194.5,0.6510048117746957,2.66,20.1,19046
96,8.5,171.6,1.5271317829457365,2.82,9.3,48846
97,4.3,107.2,1.1492666771802555,2.66,9.7,46391
98,0.0,95.0,0.7169666057164854,2.82,12.1,20824
99,0.0,76.4,0.5513579742699612,2.82,13.2,10975
100,0.0,118.5,1.549652118912081,2.82,8.7,3446
101,0.0,130.6,0.5479132664956867,2.82,12.2,9707
102,14.900000000000002,306.3,4.035854704403828,3.11,8.9,1424244
103,2.8,132.0,0.9542102980358138,2.66,14.3,80529
104,6.9,138.0,0.6498309382924767,2.66,19.9,34018
105,11.300000000000002,276.4,1.7836943992588363,3.19,10.8,386155
106,9.8,253.19999999999996,2.1510886936350704,2.82,11.6,126128
107,0.0,121.4,0.5477665471144441,2.82,11.8,15514
108,3.6,124.1,1.1371125250128808,2.66,10.9,91508
109,6.6,158.8,1.0960063330876533,2.82,13.4,69915
110,0.0,221.8,0.5481823427582228,3.23,7.7,7787
111,0.0,92.3,0.5501535312180142,3.23,12.0,8518
112,0.0,78.1,0.9245377311344328,2.17,9.1,18237
113,3.5,125.4,1.3849277022903614,2.6,5.0,83191
114,0.0,51.1,0.9982638888888888,2.17,9.3,14855
115,0.0,109.5,3.595238095238095,3.23,7.3,4720
116,0.0,265.4,0.5499541704857929,2.85,7.5,2062
117,0.0,252.0,2.223911803839574,2.6,7.4,11069
118,0.0,349.2,1.518288474810214,3.23,12.0,4495
119,0.0,138.3,0.6680488366735775,2.81,10.4,8467
120,0.0,101.0,0.6215353603225264,2.71,11.2,6729
121,0.0,95.5,0.5493966447562052,2.17,12.0,10292
122,0.0,157.2,0.6924771797293043,3.23,10.3,3270
123,0.0,161.0,0.5499438832772165,2.85,9.5,9509
124,0.0,142.5,1.2647021626406982,2.81,8.7,8370
125,0.0,142.9,1.0805000848560276,2.71,8.2,38081
126,0.0,89.9,0.7492665312570526,2.36,8.5,23490
127,15.3,523.3,1.2858851674641147,2.71,12.6,18253
128,0.0,181.8,0.5576800509878904,2.71,9.1,6882
129,0.0,0.0,0.5498281786941581,2.85,7.1,3322
130,0.0,204.2,0.547945205479452,3.23,15.1,5166
131,0.0,101.6,0.5566134466090523,3.23,14.4,7344
132,7.9,136.1,0.9178641372313066,2.81,6.8,42964
133,0.0,81.1,0.5433142167220043,2.36,11.3,6783
134,0.0,86.2,0.551665605771271,2.17,8.7,5312
135,0.0,222.1,1.515861422704848,2.81,10.0,39876
136,0.0,132.6,1.021327726043857,3.23,9.5,6798
137,0.0,90.8,0.8402275077559463,2.71,9.6,16610
138,0.0,95.4,0.5448555499239737,2.85,9.9,8115
139,31.5,237.8,0.5480703356930806,2.81,7.9,12027
140,0.0,119.8,0.5484075089643535,2.85,9.4,5085
141,0.0,110.7,1.282816229116945,2.17,7.8,14405
142,0.0,102.0,1.2417952811779316,2.17,10.5,5656
143,0.0,302.7,0.7728638900815801,2.17,8.3,6402
144,23.3,457.8,0.8960125655945453,3.23,12.7,28488
145,0.0,51.2,0.5461102524471921,2.81,6.8,10023
146,0.0,99.3,0.5376344086021506,2.85,14.8,2827
147,0.0,49.5,0.7651467832604621,2.71,8.4,6630
148,0.0,661.6,0.5584192439862543,2.71,18.4,3488
149,0.0,329.8,6.258634982039238,3.23,16.4,4195
150,0.0,208.9,0.6922592825676527,2.85,7.5,5241
151,0.0,81.2,0.5534833353387077,2.36,8.5,8439
152,13.7,99.2,0.6991568990335184,2.79,7.1,25572
153,0.0,152.4,1.1932773109243697,2.6,8.3,6152
154,0.0,77.5,0.8255933952528379,2.17,9.6,6912
155,24.9,271.1,3.014318010550113,2.85,9.3,16946
156,0.0,208.7,0.5503194382946424,2.71,13.3,17188
157,0.0,207.3,0.5522954780807732,2.71,12.7,3374
158,0.0,77.0,0.544959128065395,2.81,4.7,3813
159,0.0,69.6,0.5529953917050692,2.85,11.9,3596
160,0.0,116.9,1.0978956999085088,2.17,3.5,3346
161,0.0,225.9,0.5505395287381634,2.85,11.1,10502
162,0.0,58.2,2.6036400404448936,2.81,6.5,3926
163,0.0,302.8,0.5481823427582228,2.71,18.6,8291
164,0.0,76.2,0.5581169619024509,2.81,7.5,4352
165,0.0,95.2,0.8591453764413294,2.71,11.4,9314
166,0.0,53.3,0.5559968228752978,2.36,8.0,7994
167,0.0,86.9,1.0649627263045793,2.81,7.6,22776
168,0.0,183.4,0.5519779208831647,2.79,5.5,3776
169,32.6,534.2,1.6268729970840432,2.79,8.0,153323
170,0.0,47.6,1.8322228952150212,2.71,5.9,7293
171,0.0,384.8,1.066689064337309,2.71,12.8,9351
172,0.0,73.7,1.4701514701514702,2.79,6.1,41702
173,0.0,68.7,0.5578462284744118,2.36,9.4,4125
174,0.0,74.0,0.5393401015228426,2.17,6.8,3179
175,17.1,199.6,1.8188567186340014,2.36,6.8,49424
176,0.0,80.7,0.712468193384224,2.85,11.6,5918
177,0.0,76.1,0.5444646098003629,2.17,10.4,7053
178,0.0,93.2,1.68828494955734,2.17,6.1,5267
179,0.0,355.7,0.7239638682252922,2.85,10.4,16689
180,0.0,0.0,0.6260247428826948,2.17,13.9,7077
181,6.6,162.1,0.9143301172052063,2.6,7.1,80457
182,0.0,105.3,0.5517337709955652,2.17,7.1,29447
183,0.0,105.2,0.5339435545385203,2.17,12.6,3055
184,0.0,117.9,0.555418415206122,2.81,8.1,7825
185,19.1,388.2,4.5789234263139775,2.8800000000000003,9.6,551734
186,0.0,0.0,0.5545286506469501,2.97,6.0,377
187,0.0,142.1,0.5522613649575631,2.97,15.9,13939
188,3.6,86.1,1.3330226054532743,3.06,13.1,85215
189,0.0,90.9,0.886426592797784,2.97,11.3,18608
190,0.0,0.0,1.1860255253319583,3.06,12.4,6912
191,9.5,220.1,3.169831591398016,2.76,9.8,380183
192,0.0,77.7,0.551658917172354,3.06,12.6,9527
193,4.4,95.3,2.1086791805458263,3.0,11.3,67220
194,13.3,215.4,1.4953573412613625,3.25,14.3,292550
195,0.0,39.8,1.8631703470031544,3.06,13.5,9561
196,8.6,113.6,1.352757544224766,3.06,11.3,53130
197,11.9,176.4,1.1158865359068533,2.64,18.1,46952
198,0.0,109.6,0.7912687585266029,3.16,7.9,7891
199,17.5,221.4,1.3449745822600132,3.16,13.2,257737
200,6.7,121.8,1.271645446410349,3.16,14.2,41108
201,0.0,236.9,2.165695385100016,3.06,16.6,26771
202,0.0,68.8,1.4304555138480268,3.06,13.4,9821
203,23.300000000000008,568.0,4.438013305366061,2.7800000000000007,11.0,3242391
204,4.9,133.7,1.1950640351901591,3.17,9.5,42723
205,9.9,360.3,2.7154471544715446,3.07,7.2,103034
206,0.0,109.3,2.6973942647636506,3.17,13.2,7289
207,0.0,217.2,1.4110230653666007,3.06,12.3,33693
208,10.0,99.8,1.0435347919655666,3.17,17.5,76516
209,0.0,0.0,0.5389382915656158,3.06,12.3,3893
210,0.0,41.9,2.666233132823931,2.97,11.9,5160
211,8.6,179.1,1.8712367419948102,2.84,9.6,125115
212,0.0,238.5,1.5911547725160728,3.07,8.4,49631
213,0.0,89.9,1.1205268262800552,3.0,10.7,40838
214,12.400000000000002,233.20000000000002,3.546233702354371,2.8999999999999995,8.8,1002285
215,3.8,69.4,2.4477992052898854,3.0,9.3,134111
216,0.0,37.0,0.5458238131505458,3.06,16.7,8529
217,13.9,247.9,5.763469003831659,2.64,14.3,690388
218,12.5,281.8,4.318637139042961,3.44,13.1,519460
219,0.0,71.5,2.0706516315736954,2.84,14.0,17121
220,11.0,168.5,2.1553473081008323,3.06,13.9,607604
221,17.9,410.3,4.347620375719664,3.0,9.6,1083811
222,37.9,1745.5,11.97944188271416,2.9500000000000006,7.6,348832
223,11.5,223.0,1.3880872676901765,2.97,15.0,217343
224,6.9,204.4,1.5693976308642306,2.84,8.0,102350
225,9.2,228.6,3.588054505202408,2.34,7.4,258683
226,6.2,150.4,1.6813777077541683,3.08,8.9,142028
227,9.8,185.2,3.4769574119514695,2.36,8.8,614714
228,5.1,184.6,2.2073520465803425,2.84,8.7,94219
229,0.0,115.3,1.204352362498137,3.06,12.2,68961
230,0.0,0.0,0.5595523581135092,3.06,7.0,1291
231,0.0,99.3,1.001086894342429,3.06,14.4,19380
232,9.4,306.7,1.2884479363804937,3.07,12.1,142521
233,7.2,281.8,2.521447100739481,3.07,9.6,186935
234,5.8,129.6,1.0169192420532502,3.17,16.3,168090
235,0.0,92.3,1.307556080283353,3.0,14.0,31723
236,0.0,67.0,1.257108650104759,3.06,16.1,23480
237,0.0,95.7,3.388072601555748,3.06,13.0,5521
238,8.8,87.09999999999998,1.1016611295681065,3.16,13.5,132706
239,0.0,80.4,2.340283010968768,2.97,15.2,22181
240,7.2,130.4,1.5504384597971896,3.08,9.4,267829
241,12.3,121.5,2.1773434288517897,3.0,9.6,70953
242,0.0,78.0,1.6894889103182258,3.0,17.3,24712
243,8.9,230.5,2.9041542623497585,3.24,9.3,155047
244,0.0,89.0,1.0501355013550135,3.0,10.7,5993
245,11.4,244.80000000000004,2.5476201729923904,3.24,8.1,228267
246,0.0,92.9,1.839738348323794,2.46,9.2,5343
247,0.0,0.0,0.554016620498615,3.0,3.7,1637
248,0.0,0.0,0.547550432276657,3.0,10.1,1788
249,6.6,156.2,1.2368828198573927,3.24,6.9,121526
250,0.0,72.5,3.8086124401913874,3.24,6.0,22651
251,0.0,48.2,0.6074882221671213,3.05,6.1,7735
252,0.0,0.0,0.5740528128587831,3.2,5.8,788
253,0.0,216.2,1.2528765021733572,3.24,7.3,4103
254,0.0,0.0,0.5361930294906166,3.0,9.2,3023
255,0.0,0.0,0.5645730416372619,3.0,15.1,1396
256,0.0,252.6,0.5644402634054563,3.0,28.8,1173
257,0.0,0.0,0.5756148613291471,3.05,12.8,2125
258,0.0,54.6,1.1673791515948702,2.46,12.1,12527
259,23.6,1001.2,6.778956551797928,3.24,7.8,271054
260,0.0,0.0,0.5830903790087464,2.46,8.1,759
261,3.5,70.7,2.7206687232560456,3.24,4.7,105404
262,0.0,144.1,0.5498602050326189,2.46,5.0,18038
263,0.0,80.3,2.254428341384863,3.2,7.4,8259
264,4.7,140.8,1.3490479575842191,3.05,9.3,240154
265,0.0,299.3,0.8934269304403318,3.05,9.2,16600
266,10.7,113.0,0.7658898799794517,2.46,7.6,20330
267,0.0,117.3,1.2298558100084818,3.24,5.7,2463
268,0.0,86.1,0.5533596837944664,2.46,5.5,5208
269,0.0,63.8,0.5553119976618442,2.46,8.8,6336
270,0.0,0.0,0.6134969325153374,2.46,4.2,418
271,0.0,104.5,0.5504587155963303,3.0,14.3,2864
272,0.0,0.0,0.5217391304347827,2.46,1.3,644
273,6.2,127.09999999999998,2.643693089166919,3.24,7.0,220814
274,0.0,0.0,0.6423982869379015,3.0,3.2,559
275,0.0,0.0,0.5607476635514018,3.2,6.5,3053
276,0.0,0.0,0.5343783398646241,3.05,6.5,3106
277,0.0,78.5,2.0348975419578754,2.46,6.0,21124
278,3.2,83.1,1.3273592360328856,3.2,7.5,122743
279,0.0,106.7,0.8754863813229572,3.0,9.0,5890
280,0.0,126.3,0.8300252616383976,3.2,7.9,1757
281,0.0,47.4,1.5790506080816007,3.2,11.8,7825
282,0.0,91.6,1.401509041704751,2.46,9.2,58966
283,0.0,0.0,0.5865102639296188,3.0,0.6,375
284,0.0,76.3,0.5562177195073501,2.46,5.5,4890
285,0.0,77.6,1.0011471477734906,2.46,9.6,10659
286,17.5,55.3,0.5520819475854729,2.46,9.9,16815
287,0.0,83.1,0.5490734385724091,3.2,5.8,10443
288,0.0,65.9,1.080691642651297,3.0,11.0,7381
289,0.0,0.0,0.5649717514124294,2.46,10.5,1969
290,0.0,122.5,2.683414216385955,3.05,6.7,7184
291,0.0,0.0,1.4336917562724014,3.2,6.1,1656
292,0.0,188.8,0.5454303578555275,2.46,7.8,7357
293,0.0,61.5,2.523090786213111,3.0,9.9,4925
294,4.4,122.6,1.1391416542170312,3.0,11.1,62829
295,0.0,111.8,0.5539143279172821,2.46,4.1,2644
296,0.0,104.7,2.1927820922795798,3.0,8.8,4741
297,0.0,71.0,0.9583375365681428,2.46,6.3,9573
298,0.0,134.2,1.1029411764705883,3.0,11.4,2598
299,0.0,0.0,0.5934718100890208,2.46,18.5,338
300,0.0,88.3,0.5529953917050692,2.46,5.7,3330
301,0.0,0.0,0.5359056806002144,3.2,8.0,932
302,0.0,163.4,1.640359021974621,2.46,5.7,10386
303,0.0,73.3,0.6975269499048826,3.05,9.1,9611
304,0.0,0.0,0.5678884873515746,3.2,5.5,1986
305,3.9,76.8,0.9980510162558095,3.2,7.5,92369
306,0.0,135.3,0.5442176870748299,3.2,2.6,3833
307,8.2,326.7,1.5919394263168418,2.81,9.6,333502
308,11.300000000000002,369.8,3.2771976893142876,2.81,10.3,348204
309,5.6,143.3,1.6544702513522112,2.81,7.6,75229
310,5.599999999999999,190.30000000000004,3.021500962965302,2.81,6.6,66372
311,11.2,431.7,1.5492895955677282,2.81,10.4,327086
312,7.3,215.0,1.4772907326802807,2.81,8.4,106882
313,0.0,90.7,2.5566082658741234,2.81,7.5,54444
314,0.0,193.3,1.4229669525899329,2.81,10.6,44487
315,14.5,292.8,1.2122963920155065,3.37,9.6,59142
316,13.0,445.6,2.531157136199406,3.37,8.2,201543
317,10.8,342.1,3.468200603728607,3.37,8.9,78361
318,63.0,2590.2,9.915553777155338,3.54,10.6,267415
319,24.9,427.1,1.6095307065411408,3.31,8.5,96137
320,0.0,436.4,1.246431969552807,3.31,9.8,8351
321,13.0,284.4,1.4604771705160455,2.72,9.8,67388
322,0.0,303.8,1.2105966512066662,3.31,14.5,8824
323,11.5,293.3,1.5498304065544815,2.65,12.1,221582
324,39.9,1180.3,5.709047227666435,2.58,11.3,667578
325,0.0,275.7,0.5565002318750966,2.72,10.1,4756
326,5.1,199.5,1.5593636717696755,2.33,12.6,70948
327,7.9,162.2,1.0620684796392843,2.14,14.1,60670
328,9.4,176.2,1.7085006210103695,2.9,11.6,68016
329,15.1,283.9,1.4283289091919253,2.33,9.2,126331
330,22.6,588.7,1.5793413173652695,3.31,16.9,23714
331,0.0,475.5,0.6881028938906752,2.08,10.7,10964
332,0.0,313.9,0.5488157134604276,3.31,8.3,6020
333,35.6,762.2,3.323814677079847,2.9,11.1,334721
334,22.0,467.6,2.051568543188655,3.18,10.9,112395
335,10.8,181.9,1.7780651418411058,2.6,10.4,35939
336,0.0,203.0,1.2254901960784315,3.46,11.2,4253
337,31.0,719.2,0.8973858759266484,3.46,13.1,16986
338,0.0,143.2,0.7062554050158547,3.31,14.8,6274
339,0.0,639.4,0.5581867388362651,2.33,13.9,3846
340,0.0,219.3,0.6969540526587507,2.72,12.8,5381
341,0.0,1385.6,0.5482918599746942,3.31,17.2,4704
342,0.0,276.8,0.5462988254575253,2.6,13.3,7534
343,25.7,372.8,2.719174871073605,2.33,14.0,11156
344,9.0,210.3,2.683919345251703,2.14,15.8,70183
345,6.9,260.2,1.996393611540443,2.6,14.9,39882
346,29.5,579.1,3.9586885544243846,2.67,10.1,477472
347,0.0,132.4,0.5517727166001409,2.72,12.3,6758
348,10.8,276.8,1.9742203126157494,2.25,13.6,57342
349,16.6,1089.9,0.6713526178246373,2.72,13.7,15961
350,40.6,1178.8,2.4928092042186005,3.46,12.9,5372
351,0.0,148.3,0.5468378506894912,3.31,14.1,2706
352,8.9,295.5,2.7085998703096794,2.14,10.9,117657
353,13.8,334.3,2.0142929038751887,2.33,11.9,246061
354,29.5,482.7,1.2359187090881412,3.46,11.2,110669
355,14.7,243.5,1.1112546840677089,3.31,13.9,15638
356,0.0,235.3,8.144900784494693,3.46,17.0,2362
357,0.0,916.1,0.5456852791878173,3.46,13.4,6651
358,11.2,323.0,1.5681303612997866,2.08,9.8,133445
359,15.1,344.0,1.2053494256124966,2.14,12.9,133137
360,10.2,290.1,1.2243878060969515,2.25,11.1,60828
361,58.7,1130.3,4.037925567990035,1.9300000000000002,11.2,833541
362,18.5,828.4,5.874125874125874,1.93,7.1,28418
363,14.8,163.1,2.131782945736434,2.9,10.2,28068
364,5.4,237.7,1.2206559819039475,3.18,8.1,73655
365,15.1,386.2,1.2633265545079189,2.25,14.0,13213
366,39.5,738.1,4.528855507183977,2.83,10.4,423609
367,22.9,410.9,2.4692588237638757,2.83,11.3,90414
368,22.9,639.3,2.880756810985359,2.69,10.8,529729
369,9.4,221.2,2.39093037028681,2.82,11.0,184806
370,21.8,496.4,4.541542129878522,2.82,9.7,402536
371,19.4,396.3,1.5899207693907074,2.6,11.9,220556
372,14.8,385.5,0.6523366484867928,2.6,12.3,27842
373,6.2,164.7,2.41530654231244,2.6,7.2,77443
374,12.9,622.7,1.4955304356051649,2.25,13.5,107104
375,5.0,189.7,1.6097045018840486,3.18,9.6,57583
376,8.8,247.6,2.051494144215115,2.08,9.8,172720
377,19.6,287.3,2.6327444826888033,2.65,10.3,147932
378,9.8,222.6,1.6088097388910396,2.14,11.3,45868
379,13.5,528.6,0.5491295712115901,3.31,11.9,15583
380,25.9,1046.4,0.5482878030011543,3.46,11.4,7464
381,38.2,2445.4,0.553918680023571,3.31,11.0,3816
382,15.0,354.1,1.5759790211584548,2.6,10.5,197092
383,0.0,423.7,0.7013878525593196,3.46,8.7,10905
384,0.0,142.6,0.8813824244529351,3.18,8.3,22638
385,47.1,776.9,1.1170605612998523,2.72,12.7,8381
386,0.0,172.0,0.5550686532281625,2.95,8.0,6878
387,0.0,240.8,0.5379959650302623,2.95,9.2,2713
388,0.0,468.7,3.4499281264973645,2.95,5.0,3953
389,0.0,297.0,0.6891271056661562,2.99,7.1,1362
390,15.4,319.9,1.3555043354187246,3.06,9.4,16194
391,0.0,135.1,0.5477082732776016,2.55,9.1,6703
392,0.0,148.9,2.3305432463482685,3.06,11.2,23064
393,10.7,188.3,2.808444702692233,2.55,10.5,35293
394,0.0,206.3,1.6594032852832719,2.99,12.0,6349
395,38.2,324.3,0.8896541828095853,2.99,15.8,7102
396,52.6,761.3,0.8039345502695545,3.06,12.7,56660
397,0.0,421.9,2.154708037060978,2.95,7.0,4019
398,0.0,215.8,0.695780903034789,2.95,12.9,6523
399,0.0,378.6,0.7035003431708992,2.99,17.8,6550
400,0.0,107.8,0.9337940050424876,2.95,8.7,11231
401,24.0,373.6,0.8380788653701515,2.95,9.6,25803
402,0.0,449.0,0.7033248081841432,3.06,9.6,7970
403,69.9,424.7,1.2450652900091101,3.2,12.8,7781
404,0.0,640.3,1.3468013468013467,2.99,7.7,1787
405,0.0,199.8,0.8931855198865128,2.95,10.5,18560
406,0.0,334.5,1.6770963704630788,2.95,9.7,3944
407,17.9,182.4,2.1966762464075975,3.2,13.1,39610
408,0.0,96.1,0.9015679442508711,2.55,9.4,23813
409,0.0,213.3,1.5888944639571836,2.95,16.8,3552
410,25.9,667.0,2.1081833568688717,2.95,9.5,103807
411,0.0,95.0,0.6938708078638692,3.2,18.1,2602
412,0.0,268.2,0.9650063359001851,2.55,10.9,9347
413,10.9,140.9,4.161992805477121,2.55,7.6,77654
414,30.8,306.8,1.7723393137084134,3.06,9.8,42107
415,0.0,579.6,0.5763688760806917,3.2,20.4,1170
416,60.8,852.2,1.756487485746536,3.06,15.8,87490
417,0.0,519.5,0.542118432026689,2.95,9.2,2579
418,24.399999999999995,436.3999999999999,2.9500568627765054,2.55,9.1,264805
419,14.1,268.5,0.7175272905678891,2.95,10.6,14597
420,0.0,465.6,1.3441355183207513,2.99,9.6,15893
421,6.8,147.7,0.7000022293064628,3.06,7.3,44764
422,0.0,339.0,1.0906040268456376,2.99,9.3,6255
423,13.2,196.4,1.6696207794481281,3.2,7.9,47666
424,0.0,199.1,0.6967213114754098,3.2,12.5,4655
425,31.9,599.9,0.5487652781242205,3.2,16.8,8574
426,0.0,128.6,0.6965331644768086,2.55,8.8,6175
427,0.0,126.0,2.2131147540983607,2.55,9.9,8277
428,22.2,542.5,1.1543134872417984,2.99,9.2,10473
429,62.1,1167.3,5.261850482192725,3.06,13.0,264120
430,0.0,477.9,0.5458267000227428,2.95,9.6,8056
431,0.0,413.4,4.81115812568563,3.2,9.4,4957
432,57.5,932.7,1.0953873428942285,2.99,18.4,35585
433,18.3,337.9,2.33129105748601,2.55,11.5,46708
434,0.0,244.4,0.546448087431694,2.99,8.4,4096
435,0.0,156.7,0.6915629322268326,2.99,8.1,1434
436,12.9,120.7,1.633286922994538,2.95,7.1,17942
437,0.0,178.5,1.3081795648581658,3.06,12.2,7786
438,27.0,291.6,0.7918416316736652,3.06,14.8,8003
439,0.0,556.3,0.9057971014492754,2.95,12.2,3936
440,0.0,150.2,0.5475040257648953,2.55,14.5,9684
441,18.1,184.3,1.7678566716799915,3.2,8.5,38231
442,6.2,241.0,0.9037092115423114,2.55,12.1,34794
443,2.9,63.6,3.6054129010663223,2.55,7.3,59633
444,0.0,127.3,1.3461538461538463,2.55,8.6,8527
445,76.2,1599.2,5.599341253970121,3.06,11.1,373005
446,0.0,147.4,1.6480071652485446,2.55,11.1,10959
447,0.0,195.1,0.5571030640668524,3.06,9.2,1155
448,24.3,436.0,1.1002530933633297,2.95,11.3,31743
449,0.0,109.9,0.548897169906335,2.55,9.5,19320
450,29.3,298.0,0.5492694716027684,2.99,11.6,9378
451,0.0,139.1,0.554060471742916,3.06,10.6,6491
452,14.5,331.2,3.029719539135336,3.06,9.5,270773
453,0.0,103.2,1.5038087733123195,2.55,8.8,14613
454,10.2,126.6,1.3821784600330254,2.55,9.2,61361
455,0.0,316.5,0.5413038361967523,3.06,18.0,2787
456,0.0,121.0,2.0746887966804977,2.55,12.8,10688
457,0.0,123.7,0.698898207531656,3.2,8.5,11554
458,0.0,152.3,1.1797578391803787,2.55,8.3,10050
459,0.0,154.9,2.571825764596849,3.2,13.8,4358
460,22.399999999999995,283.8,2.0642899566861264,3.2000000000000006,11.7,69717
461,18.8,244.7,1.3921113689095126,3.2,10.1,52564
462,64.1,448.9,1.1342155009451798,2.99,10.9,3325
463,0.0,99.0,0.8231958291411323,3.06,8.4,20927
